Date,open,high,low,close,volume
2/20/2019,41.7224,42.2415,41.6737,41.9271,104457448
2/21/2019,41.8711,42.01,41.5055,41.6907,68998680
2/22/2019,41.8175,42.1636,41.7687,42.1562,75652616
2/25/2019,42.4463,42.863,42.3951,42.4633,87493432
2/26/2019,42.3366,42.7241,42.2058,42.4877,68280844
2/27/2019,42.2147,42.651,42.0978,42.6193,111341556
2/28/2019,42.4853,42.6291,42.1441,42.2001,112861664
3/1/2019,42.4755,42.6876,42.1367,42.6437,103544668
3/4/2019,42.8192,43.3212,42.4,42.8582,109744812
3/5/2019,42.8801,42.8947,42.5389,42.7802,78949676
3/6/2019,42.5706,42.7704,42.3927,42.534,83241536
3/7/2019,42.3756,42.5145,41.9247,42.0417,99185496
3/8/2019,41.5104,42.1806,41.3105,42.1416,95997432
3/11/2019,42.7704,43.6551,42.7363,43.6015,128044136
3/12/2019,43.8696,44.5203,43.7161,44.0914,129870336
3/13/2019,44.418,44.6739,44.0938,44.2864,124130096
3/14/2019,44.8201,44.8688,44.4935,44.7787,94318032
3/15/2019,45.0516,45.6561,44.7811,45.3612,156171648
3/18/2019,45.2832,45.9144,45.2807,45.8242,104879328
3/19/2019,45.9047,46.0606,45.3124,45.4611,126585476
3/20/2019,45.388,46.1825,45.0224,45.8584,124140924
3/21/2019,46.3117,47.8495,46.2605,47.5473,204136948
3/22/2019,47.6083,48.181,46.4969,46.5627,169630664
3/25/2019,46.6748,46.7894,45.4781,45.9997,175381172
3/26/2019,46.7123,47.0087,44.9858,45.5245,199202152
3/27/2019,46.0021,46.2483,45.466,45.9339,119393708
3/28/2019,46.0509,46.1993,45.7048,45.9948,83121452
3/29/2019,46.2654,46.3263,45.951,46.2946,94255844
4/1/2019,46.7065,46.7162,45.912,46.609,111447856
4/2/2019,46.5725,47.3938,46.5627,47.2866,91062928
4/3/2019,47.0989,47.891,47.0745,47.6107,93087320
4/4/2019,47.4742,47.8593,47.0721,47.6936,76457100
4/5/2019,47.8788,48.0372,47.7521,48.0128,74106576
4/8/2019,47.8715,48.8001,47.852,48.7684,103526788
4/9/2019,48.822,49.4386,48.5563,48.6221,143072948
4/10/2019,48.4223,48.9243,48.3004,48.8951,86781152
4/11/2019,48.9512,48.9877,48.3645,48.4881,83603232
4/12/2019,48.549,48.7781,47.8203,48.4686,111042672
4/15/2019,48.3979,48.7074,48.259,48.5563,70146584
4/16/2019,48.6124,49.0779,48.393,48.5612,102785540
4/17/2019,48.6319,49.5678,48.4052,49.5068,115627120
4/18/2019,49.5044,49.7554,49.3582,49.6848,96783064
4/22/2019,49.4337,49.948,49.3143,49.848,77758180
4/23/2019,49.8237,50.6328,49.6945,50.567,93291964
4/24/2019,50.5378,50.8107,50.4622,50.489,70162436
4/25/2019,50.4086,50.6353,49.9918,50.0308,74172824
4/26/2019,49.9382,49.9626,49.2607,49.792,74596408
4/29/2019,49.8164,50.199,49.6848,49.8675,88818864
4/30/2019,49.4898,49.5726,48.5271,48.9073,186139692
5/1/2019,51.1519,52.4753,50.9935,51.3079,259309312
5/2/2019,51.1422,51.8271,50.7254,50.974,127985296
5/3/2019,51.3981,51.6296,51.2373,51.6077,83569512
5/6/2019,49.7896,50.8985,49.597,50.8107,129772452
5/7/2019,50.1771,50.5518,48.9451,49.441,155054792
5/8/2019,49.2071,50.0455,49.1705,49.4508,105358016
5/9/2019,48.8415,49.1534,47.93,48.9195,139634428
5/10/2019,48.3028,48.653,47.1654,48.2444,164834848
5/13/2019,45.9273,46.3604,44.7382,45.4404,229722492
5/14/2019,45.6093,46.4142,45.3646,46.1598,146118708
5/15/2019,45.575,46.9158,45.5138,46.7127,106178872
5/16/2019,46.4656,47.0917,46.2038,46.5072,132125456
5/17/2019,45.7365,46.7078,45.6949,46.243,131516360
5/20/2019,44.9022,45.105,44.1104,44.7969,154449160
5/21/2019,45.3181,45.9983,45.1909,45.6557,113459392
5/22/2019,45.1811,45.438,44.6648,44.7211,118994224
5/23/2019,43.992,44.173,43.5051,43.9577,146118944
5/24/2019,44.0898,44.5645,43.7033,43.7889,94858744
5/28/2019,43.7767,44.1853,43.5295,43.6078,111792640
5/29/2019,43.165,43.8819,43.0622,43.3999,113924660
5/30/2019,43.5393,43.8525,43.2262,43.625,84873648
5/31/2019,43.1185,43.5491,42.8151,42.8347,108174336
6/3/2019,42.9644,43.532,41.6603,42.4016,161584276
6/4/2019,42.9252,43.9993,42.7001,43.9528,123871844
6/5/2019,45.0881,45.2618,44.3198,44.6624,119093708
6/6/2019,44.7945,45.3793,44.5667,45.3181,90105244
6/7/2019,45.6337,46.9574,45.4527,46.5243,122737572
6/10/2019,46.9305,47.8015,46.884,47.1189,104883404
6/11/2019,47.6767,47.9557,47.3684,47.6645,107731528
6/12/2019,47.4541,47.9483,47.3158,47.5128,73012756
6/13/2019,47.6376,48.1489,47.3684,47.503,86698500
6/14/2019,46.8656,47.3651,46.561,47.158,75045896
6/17/2019,47.1972,47.7012,47.0186,47.4394,58676576
6/18/2019,47.9679,49.0053,47.7624,48.5551,106204016
6/19/2019,48.856,48.905,48.2762,48.4132,84496940
6/20/2019,49.0249,49.0836,48.4523,48.8022,86055952
6/21/2019,48.6407,49.1423,48.4817,48.6358,191202356
6/24/2019,48.5771,48.9735,48.4866,48.5869,72881684
6/25/2019,48.5502,48.7533,47.7819,47.8504,84281336
6/26/2019,48.3887,49.1766,48.286,48.8854,104270048
6/27/2019,49.0053,49.3185,48.8291,48.8707,83598868
6/28/2019,48.6114,48.8108,48.2126,48.4254,124442568
7/1/2019,49.71,50.0329,49.0934,49.3136,109266956
7/2/2019,49.2793,49.7007,49.2671,49.6023,67740868
7/3/2019,49.7369,50.0207,49.5925,50.0133,45448180
7/5/2019,49.754,50.1773,49.6439,49.9693,69062072
7/8/2019,49.1325,49.2769,48.5453,48.9392,101354512
7/9/2019,48.7386,49.3038,48.6432,49.2377,82312060
7/10/2019,49.387,49.847,49.316,49.7246,71588552
